"","corpusngram1","n"
"22962","puddles",5
"22963","pueblo",5
"22964","puffy",5
"22965","punchy",5
"22966","punishing",5
"22967","punks",5
"22968","punta",5
"22969","pupil",5
"22970","pursuits",5
"22971","putnam",5
"22972","puttin",5
"22973","python",5
"22974","qc",5
"22975","qr",5
"22976","qt",5
"22977","qualification",5
"22978","qualifications",5
"22979","qualifier",5
"22980","quesadillas",5
"22981","questionnaire",5
"22982","quickest",5
"22983","quilted",5
"22984","quilter",5
"22985","quinns",5
"22986","quintessentially",5
"22987","quipped",5
"22988","r2",5
"22989","r8",5
"22990","rabid",5
"22991","racecourse",5
"22992","racetrack",5
"22993","racking",5
"22994","radon",5
"22995","rafa",5
"22996","raids",5
"22997","raines",5
"22998","rainforest",5
"22999","raja",5
"23000","rallying",5
"23001","ramble",5
"23002","ramblings",5
"23003","rambo",5
"23004","rammed",5
"23005","rampage",5
"23006","ramping",5
"23007","ranting",5
"23008","rapping",5
"23009","raptors",5
"23010","rarity",5
"23011","raspy",5
"23012","ratatouille",5
"23013","ratchet",5
"23014","ratios",5
"23015","ratliff",5
"23016","rattan",5
"23017","raunchy",5
"23018","ravine",5
"23019","re-sign",5
"23020","real-estate",5
"23021","realisation",5
"23022","reaped",5
"23023","rearranging",5
"23024","reassess",5
"23025","reassurance",5
"23026","receivership",5
"23027","recited",5
"23028","recognisable",5
"23029","recognising",5
"23030","recounting",5
"23031","recourse",5
"23032","rectangle",5
"23033","rectangles",5
"23034","redistricting",5
"23035","reef",5
"23036","reeling",5
"23037","reels",5
"23038","referrals",5
"23039","refine",5
"23040","refineries",5
"23041","refinery",5
"23042","reflex",5
"23043","reformers",5
"23044","refresh",5
"23045","refunded",5
"23046","reigns",5
"23047","reimbursed",5
"23048","reiterate",5
"23049","relational",5
"23050","relegation",5
"23051","relieving",5
"23052","relinquish",5
"23053","relinquishing",5
"23054","relocating",5
"23055","renovate",5
"23056","reo",5
"23057","repainted",5
"23058","repairing",5
"23059","repatriation",5
"23060","repayment",5
"23061","replicated",5
"23062","replying",5
"23063","repository",5
"23064","reprehensible",5
"23065","reproduced",5
"23066","republican-controlled",5
"23067","reputations",5
"23068","rereading",5
"23069","rescuing",5
"23070","reshaping",5
"23071","residue",5
"23072","respecting",5
"23073","responsibly",5
"23074","restrained",5
"23075","restrictive",5
"23076","restrooms",5
"23077","resuming",5
"23078","resurrected",5
"23079","retails",5
"23080","retake",5
"23081","retaliation",5
"23082","retrieved",5
"23083","reunification",5
"23084","revamp",5
"23085","revere",5
"23086","reverting",5
"23087","revisited",5
"23088","revisiting",5
"23089","revived",5
"23090","revue",5
"23091","rewrites",5
"23092","rewriting",5
"23093","rhonda",5
"23094","ricardo",5
"23095","ricci",5
"23096","richly",5
"23097","ricketts",5
"23098","rickie",5
"23099","rickman",5
"23100","riddle",5
"23101","ridges",5
"23102","ridin",5
"23103","rift",5
"23104","rigor",5
"23105","rin",5
"23106","rinne",5
"23107","ripley",5
"23108","risking",5
"23109","ritchie",5
"23110","ritenour",5
"23111","rites",5
"23112","rizzo",5
"23113","rj",5
"23114","rm",5
"23115","rnc",5
"23116","rnd",5
"23117","roadway",5
"23118","robotic",5
"23119","roe",5
"23120","rojas",5
"23121","rolle",5
"23122","rollicking",5
"23123","roma",5
"23124","romano",5
"23125","ronaldo",5
"23126","rosario",5
"23127","rosens",5
"23128","rosters",5
"23129","ros�",5
"23130","rotted",5
"23131","rounder",5
"23132","rout",5
"23133","routed",5
"23134","roux",5
"23135","royale",5
"23136","royalton",5
"23137","roys",5
"23138","rubberband",5
"23139","ruddy",5
"23140","rumpus",5
"23141","runnin",5
"23142","rust",5
"23143","rusted",5
"23144","rut",5
"23145","ruthless",5
"23146","rybak",5
"23147","r�s",5
"23148","sabah",5
"23149","sabrina",5
"23150","saddled",5
"23151","safeguard",5
"23152","safeties",5
"23153","sahara",5
"23154","salata",5
"23155","salle",5
"23156","samuels",5
"23157","sanction",5
"23158","sander",5
"23159","sanitary",5
"23160","sanitation",5
"23161","saratoga",5
"23162","sas",5
"23163","satan’",5
"23164","satellites",5
"23165","satirical",5
"23166","saturation",5
"23167","saturn",5
"23168","sausages",5
"23169","sawako",5
"23170","sawdust",5
"23171","scaffolding",5
"23172","scalp",5
"23173","scams",5
"23174","scanners",5
"23175","scarcity",5
"23176","scarlett",5
"23177","scatter",5
"23178","scents",5
"23179","schiano",5
"23180","schilling",5
"23181","schizophrenia",5
"23182","schoolhouse",5
"23183","schoolyard",5
"23184","schroeder",5
"23185","sclerosis",5
"23186","scotch",5
"23187","scoured",5
"23188","scrappy",5
"23189","screeching",5
"23190","screwing",5
"23191","scribble",5
"23192","scrutinizing",5
"23193","scuba",5
"23194","scum",5
"23195","sdsu",5
"23196","season-ending",5
"23197","seattles",5
"23198","secretaries",5
"23199","sect",5
"23200","see”",5
"23201","segal",5
"23202","seine",5
"23203","seitz",5
"23204","seizures",5
"23205","selects",5
"23206","self-aware",5
"23207","self-centered",5
"23208","self-confidence",5
"23209","self-deprecating",5
"23210","self-destructive",5
"23211","selflessness",5
"23212","seminole",5
"23213","sentimentality",5
"23214","sepia",5
"23215","seriousness",5
"23216","serpent",5
"23217","seven-game",5
"23218","sewers",5
"23219","sex-abuse",5
"23220","sexism",5
"23221","sexist",5
"23222","shacks",5
"23223","shafer",5
"23224","shakers",5
"23225","shakespeares",5
"23226","shakopee",5
"23227","shardlake",5
"23228","sharif",5
"23229","shavings",5
"23230","shawl",5
"23231","shawnee",5
"23232","shear",5
"23233","sheath",5
"23234","shen",5
"23235","shermans",5
"23236","ship’",5
"23237","shirtless",5
"23238","shocker",5
"23239","shootin",5
"23240","shootout",5
"23241","shopper",5
"23242","short-handed",5
"23243","shortcut",5
"23244","shortcuts",5
"23245","shortened",5
"23246","shorty",5
"23247","shoulda",5
"23248","showdown",5
"23249","showings",5
"23250","showroom",5
"23251","shreds",5
"23252","shrill",5
"23253","shrugs",5
"23254","shrunk",5
"23255","shudder",5
"23256","shuffled",5
"23257","shutdowns",5
"23258","shuttered",5
"23259","sic",5
"23260","side-by-side",5
"23261","sidekick",5
"23262","sighting",5
"23263","sightings",5
"23264","simplify",5
"23265","simpsons",5
"23266","sinclair",5
"23267","sippy",5
"23268","sisterhood",5
"23269","sittin",5
"23270","six-month",5
"23271","sizing",5
"23272","sizzix",5
"23273","skateboarding",5
"23274","skeet",5
"23275","skier",5
"23276","skittish",5
"23277","skool",5
"23278","skulls",5
"23279","skyrim",5
"23280","skyrocketing",5
"23281","slacker",5
"23282","slams",5
"23283","slayings",5
"23284","sleeper",5
"23285","sleeved",5
"23286","slider",5
"23287","slit",5
"23288","sliver",5
"23289","slog",5
"23290","slogans",5
"23291","slowest",5
"23292","slum",5
"23293","slumber",5
"23294","slumping",5
"23295","sly",5
"23296","smacking",5
"23297","smartly",5
"23298","smirk",5
"23299","smoker",5
"23300","smoldering",5
"23301","smoothies",5
"23302","smoothing",5
"23303","smoothness",5
"23304","smores",5
"23305","smurfs",5
"23306","snail",5
"23307","snapshots",5
"23308","sneezing",5
"23309","sniper",5
"23310","snobs",5
"23311","snows",5
"23312","snowstorm",5
"23313","sobriety",5
"23314","socket",5
"23315","sod",5
"23316","softcover",5
"23317","soiled",5
"23318","soils",5
"23319","soles",5
"23320","solicited",5
"23321","somber",5
"23322","somerville",5
"23323","something”",5
"23324","sonoran",5
"23325","soon-to-be",5
"23326","sooooo",5
"23327","sopa",5
"23328","sophomores",5
"23329","sorrowful",5
"23330","sotomayor",5
"23331","soulless",5
"23332","soul”",5
"23333","sovereignty",5
"23334","so�",5
"23335","spades",5
"23336","spagnuolo",5
"23337","spanned",5
"23338","spanning",5
"23339","sparky",5
"23340","spawning",5
"23341","spearheaded",5
"23342","spectacularly",5
"23343","spectator",5
"23344","spiciness",5
"23345","spiderman",5
"23346","spielman",5
"23347","spiked",5
"23348","spiraling",5
"23349","splender",5
"23350","spoils",5
"23351","spooked",5
"23352","spools",5
"23353","sporty",5
"23354","sprinkles",5
"23355","sprinting",5
"23356","sprouting",5
"23357","spx",5
"23358","spying",5
"23359","squabbling",5
"23360","squads",5
"23361","squarely",5
"23362","squeezes",5
"23363","sri",5
"23364","srsly",5
"23365","stabilize",5
"23366","stables",5
"23367","staffed",5
"23368","stagecoach",5
"23369","staggered",5
"23370","stagnant",5
"23371","stampendous",5
"23372","stampers",5
"23373","standby",5
"23374","standouts",5
"23375","state-of-the-art",5
"23376","state”",5
"23377","stature",5
"23378","steins",5
"23379","stemmed",5
"23380","stench",5
"23381","stifling",5
"23382","stimulation",5
"23383","stingy",5
"23384","stinks",5
"23385","stl",5
"23386","stokes",5
"23387","stomp",5
"23388","stomping",5
"23389","stoneware",5
"23390","stopgap",5
"23391","storefronts",5
"23392","storia",5
"23393","stormwater",5
"23394","stouts",5
"23395","strait",5
"23396","straits",5
"23397","streamed",5
"23398","streetcar",5
"23399","streeter",5
"23400","streetpass",5
"23401","strengthened",5
"23402","strengthens",5
"23403","stricter",5
"23404","strikers",5
"23405","stroking",5
"23406","strolling",5
"23407","stubbornly",5
"23408","students’",5
"23409","stung",5
"23410","stuttgart",5
"23411","subculture",5
"23412","subdivision",5
"23413","submarine",5
"23414","submits",5
"23415","subordinate",5
"23416","subpar",5
"23417","subprime",5
"23418","succeeding",5
"23419","succinctly",5
"23420","sudanese",5
"23421","suffolk",5
"23422","sugarland",5
"23423","suggestive",5
"23424","suitably",5
"23425","summarily",5
"23426","summer’",5
"23427","summitt",5
"23428","sumptuous",5
"23429","sunblock",5
"23430","sunnyside",5
"23431","sunroom",5
"23432","sup",5
"23433","superpower",5
"23434","supervising",5
"23435","suppan",5
"23436","supple",5
"23437","supplying",5
"23438","surfer",5
"23439","surrounds",5
"23440","surveying",5
"23441","survives",5
"23442","susceptible",5
"23443","susie",5
"23444","suspending",5
"23445","suspiciously",5
"23446","sustaining",5
"23447","suvs",5
"23448","swam",5
"23449","swat",5
"23450","swath",5
"23451","swayed",5
"23452","sweats",5
"23453","sweatshirts",5
"23454","sweeps",5
"23455","swelled",5
"23456","swells",5
"23457","swims",5
"23458","swish",5
"23459","swords",5
"23460","sycamore",5
"23461","sympathies",5
"23462","synchronicity",5
"23463","synchronized",5
"23464","synonymous",5
"23465","synth",5
"23466","syrians",5
"23467","system”",5
"23468","tabled",5
"23469","tagline",5
"23470","taj",5
"23471","takin",5
"23472","talbot",5
"23473","talladega",5
"23474","tallahassee",5
"23475","tamale",5
"23476","tanker",5
"23477","tantalizing",5
"23478","taqueria",5
"23479","tarmac",5
"23480","tarnished",5
"23481","tartan",5
"23482","tartar",5
"23483","tat",5
"23484","tate",5
"23485","taunt",5
"23486","taunting",5
"23487","tavares",5
"23488","tax-exempt",5
"23489","tb",5
"23490","tbd",5
"23491","tcu",5
"23492","team-high",5
"23493","teapot",5
"23494","technicians",5
"23495","telescope",5
"23496","tem",5
"23497","temperate",5
"23498","tempered",5
"23499","tempt",5
"23500","teriyaki",5
"23501","terminals",5
"23502","termination",5
"23503","territories",5
"23504","testimonies",5
"23505","tetanus",5
"23506","thales",5
"23507","thank-you",5
"23508","thatcher",5
"23509","that’ll",5
"23510","theorists",5
"23511","theresa",5
"23512","theriot",5
"23513","theroux",5
"23514","think”",5
"23515","thomas’",5
"23516","thome",5
"23517","thorne",5
"23518","thrashing",5
"23519","three-fourths",5
"23520","three-month",5
"23521","thrills",5
"23522","thrived",5
"23523","throats",5
"23524","thu",5
"23525","thunk",5
"23526","thurgood",5
"23527","thursday’",5
"23528","thwart",5
"23529","thyroid",5
"23530","tic",5
"23531","tidbits",5
"23532","tides",5
"23533","tif",5
"23534","tightrope",5
"23535","timberlake",5
"23536","tingling",5
"23537","tiniest",5
"23538","tins",5
"23539","tireless",5
"23540","tissues",5
"23541","toad",5
"23542","tobias",5
"23543","tock",5
"23544","together”",5
"23545","tolerable",5
"23546","tolerated",5
"23547","top-notch",5
"23548","top-tier",5
"23549","topless",5
"23550","topps",5
"23551","torque",5
"23552","torte",5
"23553","tot",5
"23554","totalitarian",5
"23555","tote",5
"23556","totes",5
"23557","toth",5
"23558","totty",5
"23559","toussaint",5
"23560","townsend",5
"23561","traci",5
"23562","tracker",5
"23563","tracts",5
"23564","transcendent",5
"23565","transgressions",5
"23566","transitioning",5
"23567","transitions",5
"23568","translations",5
"23569","trashed",5
"23570","travolta",5
"23571","treacherous",5
"23572","treading",5
"23573","treaties",5
"23574","tribeca",5
"23575","tributes",5
"23576","triggering",5
"23577","tripping",5
"23578","trojan",5
"23579","troll",5
"23580","trotted",5
"23581","truce",5
"23582","trucker",5
"23583","truman",5
"23584","trumped",5
"23585","tryout",5
"23586","tsipras",5
"23587","tualatin",5
"23588","tubing",5
"23589","tugged",5
"23590","tugs",5
"23591","turbines",5
"23592","turbo",5
"23593","turbulence",5
"23594","tutoring",5
"23595","tutors",5
"23596","twentieth",5
"23597","twenty-five",5
"23598","twenty-six",5
"23599","two-story",5
"23600","tylenol",5
"23601","ubs",5
"23602","ug",5
"23603","ukulele",5
"23604","unassuming",5
"23605","unattractive",5
"23606","uncontrollable",5
"23607","undercut",5
"23608","underemployed",5
"23609","undermines",5
"23610","underrated",5
"23611","underscored",5
"23612","understatement",5
"23613","undeterred",5
"23614","undisclosed",5
"23615","undo",5
"23616","undue",5
"23617","undying",5
"23618","unelected",5
"23619","unending",5
"23620","unfathomable",5
"23621","unfazed",5
"23622","unfettered",5
"23623","unfit",5
"23624","unfolding",5
"23625","unfolds",5
"23626","unfollowing",5
"23627","unforgiving",5
"23628","ungodly",5
"23629","unharmed",5
"23630","unintentional",5
"23631","unjust",5
"23632","unjustly",5
"23633","unloved",5
"23634","unplanned",5
"23635","unqualified",5
"23636","unreleased",5
"23637","unreliable",5
"23638","unremarkable",5
"23639","unrivaled",5
"23640","unsolicited",5
"23641","unspeakable",5
"23642","unsubscribe",5
"23643","unsustainable",5
"23644","untenable",5
"23645","untold",5
"23646","unwarranted",5
"23647","unwavering",5
"23648","unwittingly",5
"23649","up-close",5
"23650","upped",5
"23651","usga",5
"23652","ushering",5
"23653","v8",5
"23654","vaccinations",5
"23655","vail",5
"23656","validated",5
"23657","vandalism",5
"23658","vanish",5
"23659","vanishing",5
"23660","vans",5
"23661","vantage",5
"23662","varejao",5
"23663","varietals",5
"23664","vase",5
"23665","vaults",5
"23666","veda",5
"23667","vehemently",5
"23668","velvety",5
"23669","venom",5
"23670","vents",5
"23671","vern",5
"23672","verne",5
"23673","vertically",5
"23674","vetoed",5
"23675","vial",5
"23676","vibes",5
"23677","vices",5
"23678","victimized",5
"23679","victorias",5
"23680","viewpoints",5
"23681","villagers",5
"23682","vinny",5
"23683","viola",5
"23684","violets",5
"23685","viruses",5
"23686","vocalists",5
"23687","vocation",5
"23688","voiceover",5
"23689","vomiting",5
"23690","vonage",5
"23691","vulgar",5
"23692","wack",5
"23693","wagons",5
"23694","waitin",5
"23695","wakefield",5
"23696","walden",5
"23697","waldo",5
"23698","walk-on",5
"23699","walkin",5
"23700","wallis",5
"23701","walrus",5
"23702","waltz",5
"23703","wand",5
"23704","wanda",5
"23705","wands",5
"23706","waning",5
"23707","warring",5
"23708","warshaw",5
"23709","washburn",5
"23710","washington-based",5
"23711","wassup",5
"23712","watcher",5
"23713","waterproof",5
"23714","watt",5
"23715","wavered",5
"23716","weaken",5
"23717","wealthiest",5
"23718","wearable",5
"23719","weasel",5
"23720","webber",5
"23721","websters",5
"23722","wedged",5
"23723","weds",5
"23724","weeknight",5
"23725","well-established",5
"23726","wellcome",5
"23727","wesleyan",5
"23728","westfield",5
"23729","wh",5
"23730","wharton",5
"23731","whisking",5
"23732","whisky",5
"23733","whole-wheat",5
"23734","wholesalers",5
"23735","wholl",5
"23736","whomever",5
"23737","why�",5
"23738","wickedness",5
"23739","wide-open",5
"23740","width",5
"23741","wield",5
"23742","wiki",5
"23743","wilcox",5
"23744","wildest",5
"23745","wildflower",5
"23746","williamson",5
"23747","willpower",5
"23748","will”",5
"23749","wilmington",5
"23750","winchester",5
"23751","winged",5
"23752","wiper",5
"23753","wipers",5
"23754","wiring",5
"23755","wisconsins",5
"23756","withdrawing",5
"23757","woah",5
"23758","wodehouse",5
"23759","woeful",5
"23760","wolverines",5
"23761","womack",5
"23762","woman”",5
"23763","wonky",5
"23764","woodbury",5
"23765","wooing",5
"23766","worcestershire",5
"23767","worthington",5
"23768","wrecked",5
"23769","wrecking",5
"23770","wring",5
"23771","wrinkle",5
"23772","wrinkled",5
"23773","writer-director",5
"23774","wrong”",5
"23775","wut",5
"23776","xp",5
"23777","yallop",5
"23778","yalls",5
"23779","yanked",5
"23780","yanks",5
"23781","yawn",5
"23782","yearbook",5
"23783","yippee",5
"23784","yknow",5
"23785","yormark",5
"23786","youngster",5
"23787","yvonne",5
"23788","y’all",5
"23789","y�sica",5
"23790","zayn",5
"23791","zeller",5
"23792","zellers",5
"23793","zenith",5
"23794","zeroed",5
"23795","zion",5
"23796","zipped",5
"23797","zipper",5
"23798","zubrus",5
"23799","zz",5
"23800","�10",5
"23801","✔",5
"23802","★",5
"23803","“each",5
"23804","“everything",5
"23805","“get",5
"23806","“happy",5
"23807","“has",5
"23808","“his",5
"23809","“hold",5
"23810","“love",5
"23811","“love”",5
"23812","“more",5
"23813","“only",5
"23814","“since",5
"23815","“we’ve",5
"23816","“yes”",5
"23817","“your",5
"23818","‘",5
"23819","‘how",5
"23820","‘no",5
"23821","‘you",5
"23822","’90s",5
"23823","�it",5
"23824","����",5
"23825","����",5
"23826","-90",4
"23827","-commerce",4
"23828","-factor",4
"23829","-files",4
"23830","-gloucester",4
"23831","-line",4
"23832","-mass",4
"23833","-minus",4
"23834","-mobile",4
"23835","-ny",4
"23836","0-2",4
"23837","004",4
"23838","010",4
"23839","05-06",4
"23840","05-10",4
"23841","1011",4
"23842","1030pm",4
"23843","1035",4
"23844","1050",4
"23845","1095",4
"23846","10a",4
"23847","11-member",4
"23848","1125",4
"23849","1130am",4
"23850","1199",4
"23851","12-13",4
"23852","12-year",4
"23853","123000",4
"23854","125th",4
"23855","129",4
"23856","1295",4
"23857","13-3",4
"23858","136",4
"23859","14-2",4
"23860","14-inch",4
"23861","147",4
"23862","15-minute",4
"23863","15-year",4
"23864","157",4
"23865","16000",4
"23866","162",4
"23867","169",4
"23868","177",4
"23869","178",4
"23870","1800s",4
"23871","1848",4
"23872","1850",4
"23873","1851",4
"23874","1867",4
"23875","187",4
"23876","1870",4
"23877","188",4
"23878","1880",4
"23879","1903",4
"23880","1907",4
"23881","191",4
"23882","1911",4
"23883","1917",4
"23884","1923",4
"23885","1935",4
"23886","196",4
"23887","198",4
"23888","2-6",4
"23889","2-under",4
"23890","20-12",4
"23891","20-21",4
"23892","20-25",4
"23893","20-yard",4
"23894","2024",4
"23895","207",4
"23896","21-22",4
"23897","21000",4
"23898","22-2",4
"23899","2226",4
"23900","226",4
"23901","23-27",4
"23902","240000",4
"23903","241",4
"23904","241pu",4
"23905","245",4
"23906","25-year",4
"23907","263",4
"23908","264",4
"23909","266",4
"23910","269",4
"23911","272",4
"23912","274",4
"23913","276",4
"23914","280",4
"23915","281",4
"23916","282",4
"23917","284",4
"23918","285000",4
"23919","286",4
"23920","294",4
"23921","2g",4
"23922","2”",4
"23923","3-for-3",4
"23924","3-year",4
"23925","307",4
"23926","309",4
"23927","3100",4
"23928","31000",4
"23929","313",4
"23930","316",4
"23931","328",4
"23932","329",4
"23933","33000",4
"23934","334",4
"23935","339",4
"23936","33rd",4
"23937","34-year-old",4
"23938","3400",4
"23939","348",4
"23940","349",4
"23941","34th",4
"23942","35-year-old",4
"23943","350�f",4
"23944","352",4
"23945","353",4
"23946","357",4
"23947","35mm",4
"23948","3600",4
"23949","366",4
"23950","36th",4
"23951","370",4
"23952","373",4
"23953","379",4
"23954","381",4
"23955","384",4
"23956","39-year-old",4
"23957","39th",4
"23958","3x",4
"23959","4-hour",4
"23960","407",4
"23961","41000",4
"23962","412",4
"23963","417",4
"23964","418",4
"23965","42-year-old",4
"23966","421",4
"23967","428",4
"23968","430pm",4
"23969","437",4
"23970","43rd",4
"23971","44-year-old",4
"23972","44000",4
"23973","45s",4
"23974","45th",4
"23975","460",4
"23976","47th",4
"23977","5-12",4
"23978","5-2",4
"23979","5-foot-9",4
"23980","501",4
"23981","504",4
"23982","511",4
"23983","514",4
"23984","516",4
"23985","5300",4
"23986","538",4
"23987","54000",4
"23988","547",4
"23989","55-year-old",4
"23990","55000",4
"23991","560",4
"23992","57-year-old",4
"23993","575",4
"23994","595",4
"23995","5s",4
"23996","626",4
"23997","62nd",4
"23998","66-game",4
"23999","670",4
"24000","68-year-old",4
"24001","680",4
"24002","695",4
"24003","7-0",4
"24004","7-11",4
"24005","7-4",4
"24006","7-830",4
"24007","7-9",4
"24008","702",4
"24009","732",4
"24010","740",4
"24011","8-11",4
"24012","8-12",4
"24013","8-8",4
"24014","808",4
"24015","810",4
"24016","811",4
"24017","812",4
"24018","820",4
"24019","85000",4
"24020","850000",4
"24021","889",4
"24022","8s",4
"24023","9-0",4
"24024","9-2",4
"24025","9-4",4
"24026","9-inch",4
"24027","90210",4
"24028","940",4
"24029","949",4
"24030","975",4
"24031","a1",4
"24032","a6",4
"24033","aarons",4
"24034","abdomen",4
"24035","abdu",4
"24036","abrasive",4
"24037","abrogation",4
"24038","absorbent",4
"24039","abstinence",4
"24040","absurdly",4
"24041","accolades",4
"24042","accommodating",4
"24043","accompaniment",4
"24044","acrylics",4
"24045","activation",4
"24046","adaptable",4
"24047","adaptations",4
"24048","addictions",4
"24049","addy",4
"24050","aden",4
"24051","adhering",4
"24052","adjunct",4
"24053","adoring",4
"24054","adorn",4
"24055","adriana",4
"24056","advancements",4
"24057","adversaries",4
"24058","adversely",4
"24059","advertises",4
"24060","advil",4
"24061","aegean",4
"24062","affectionate",4
"24063","affidavits",4
"24064","affirms",4
"24065","affords",4
"24066","afghans",4
"24067","aficionados",4
"24068","afp",4
"24069","afrikaners",4
"24070","afterthought",4
"24071","again�",4
"24072","agc",4
"24073","agendas",4
"24074","agnew",4
"24075","aguilar",4
"24076","ahole",4
"24077","aig",4
"24078","ailment",4
"24079","aimlessly",4
"24080","airbrushed",4
"24081","airflow",4
"24082","airspace",4
"24083","airtight",4
"24084","ajc",4
"24085","ak",4
"24086","akers",4
"24087","akerson",4
"24088","al-awlaki",4
"24089","al-nour",4
"24090","alain",4
"24091","algeria",4
"24092","algorithm",4
"24093","alias",4
"24094","alienate",4
"24095","alisa",4
"24096","alito",4
"24097","all-america",4
"24098","all-big",4
"24099","all-day",4
"24100","all-round",4
"24101","alleys",4
"24102","allocate",4
"24103","allotted",4
"24104","allstate",4
"24105","alonzo",4
"24106","als",4
"24107","alterations",4
"24108","alternates",4
"24109","altruistic",4
"24110","am10",4
"24111","amassed",4
"24112","amaze",4
"24113","amazin",4
"24114","amazons",4
"24115","ambiguous",4
"24116","ambivalent",4
"24117","amc",4
"24118","amerens",4
"24119","ames",4
"24120","amina",4
"24121","amir",4
"24122","amniotic",4
"24123","amorphous",4
"24124","amphibious",4
"24125","amphitheater",4
"24126","amuse",4
"24127","analog",4
"24128","analyse",4
"24129","anchorage",4
"24130","anchovies",4
"24131","ancillary",4
"24132","andrew’",4
"24133","andrus",4
"24134","andr�",4
"24135","and�",4
"24136","anemic",4
"24137","angelou",4
"24138","angered",4
"24139","anima",4
"24140","animating",4
"24141","anime",4
"24142","annes",4
"24143","annexed",4
"24144","annies",4
"24145","another’",4
"24146","ansar",4
"24147","anthocyanins",4
"24148","anthropologie",4
"24149","anti-aging",4
"24150","anti-gay",4
"24151","anti-social",4
"24152","antinous",4
"24153","antioxidant",4
"24154","antipasti",4
"24155","antonia",4
"24156","antony",4
"24157","any1",4
"24158","anyhoo",4
"24159","apa",4
"24160","apaches",4
"24161","apart”",4
"24162","apes",4
"24163","apex",4
"24164","apg",4
"24165","api",4
"24166","apostrophe",4
"24167","appalachian",4
"24168","appetit",4
"24169","applesauce",4
"24170","applicator",4
"24171","apprentices",4
"24172","approachable",4
"24173","appropriation",4
"24174","approvals",4
"24175","approximate",4
"24176","apricot",4
"24177","apricots",4
"24178","aptitude",4
"24179","aquariums",4
"24180","arbitrarily",4
"24181","arbitrator",4
"24182","archaeological",4
"24183","archetypal",4
"24184","arcs",4
"24185","aretha",4
"24186","aria",4
"24187","arid",4
"24188","ariel",4
"24189","aries",4
"24190","arik",4
"24191","aristotle",4
"24192","arizonans",4
"24193","armenian",4
"24194","arnie",4
"24195","arraignment",4
"24196","artefacts",4
"24197","arthurs",4
"24198","artifact",4
"24199","artisan",4
"24200","artsy",4
"24201","ascendant",4
"24202","ascending",4
"24203","ascension",4
"24204","ascertain",4
"24205","asexual",4
"24206","asher",4
"24207","asheville",4
"24208","ashlyn",4
"24209","ashtabula",4
"24210","assads",4
"24211","assange",4
"24212","assemblies",4
"24213","asserting",4
"24214","assessor",4
"24215","assuredly",4
"24216","asteroid",4
"24217","astonished",4
"24218","astronomers",4
"24219","astute",4
"24220","asunder",4
"24221","at-risk",4
"24222","atlantas",4
"24223","atonement",4
"24224","atrophy",4
"24225","atts",4
"24226","audacious",4
"24227","audiobook",4
"24228","auditioned",4
"24229","ausby",4
"24230","auspicious",4
"24231","authorised",4
"24232","authoritative",4
"24233","authorizing",4
"24234","autocorrect",4
"24235","autographs",4
"24236","autumns",4
"24237","availed",4
"24238","avenge",4
"24239","avenger",4
"24240","averted",4
"24241","aviator",4
"24242","avocados",4
"24243","avoidable",4
"24244","avoids",4
"24245","awash",4
"24246","awh",4
"24247","awsome",4
"24248","ayala",4
"24249","azmarie",4
"24250","aztec",4
"24251","babel",4
"24252","babysitter",4
"24253","babysitting",4
"24254","backfield",4
"24255","bacterial",4
"24256","baffles",4
"24257","baghdad",4
"24258","baguettes",4
"24259","bahaha",4
"24260","baileys",4
"24261","bailouts",4
"24262","baird",4
"24263","baldwin-wallace",4
"24264","ballads",4
"24265","balloting",4
"24266","baloney",4
"24267","balsillie",4
"24268","bama",4
"24269","bamako",4
"24270","band-aid",4
"24271","bandages",4
"24272","bandana",4
"24273","bane",4
"24274","banged-up",4
"24275","bangers",4
"24276","banshees",4
"24277","barbados",4
"24278","barbaric",4
"24279","barbra",4
"24280","barf",4
"24281","barner",4
"24282","barrington",4
"24283","barrios",4
"24284","barron",4
"24285","bartending",4
"24286","barth",4
"24287","bashara",4
"24288","basins",4
"24289","bask",4
"24290","basque",4
"24291","bayno",4
"24292","bbqs",4
"24293","bcuz",4
"24294","bds",4
"24295","beaded",4
"24296","bearable",4
"24297","bearcats",4
"24298","bearer",4
"24299","bearings",4
"24300","beasley",4
"24301","beasties",4
"24302","beautify",4
"24303","beavers’",4
"24304","bec",4
"24305","beecher",4
"24306","beekeeping",4
"24307","beethovens",4
"24308","beetroot",4
"24309","before”",4
"24310","befriends",4
"24311","beggars",4
"24312","behaviours",4
"24313","behest",4
"24314","beiber",4
"24315","belgians",4
"24316","bellas",4
"24317","bellevue",4
"24318","bellies",4
"24319","bellotti",4
"24320","benadryl",4
"24321","bennetts",4
"24322","bens",4
"24323","benton",4
"24324","benz",4
"24325","berg",4
"24326","berkshire",4
"24327","bernardino",4
"24328","bernhard",4
"24329","bernice",4
"24330","bernstein",4
"24331","berra",4
"24332","berrios",4
"24333","bertram",4
"24334","besotted",4
"24335","bestest",4
"24336","bestowed",4
"24337","bestsellers",4
"24338","bestselling",4
"24339","betrayal",4
"24340","betsey",4
"24341","betterment",4
"24342","bettman",4
"24343","bh",4
"24344","bickering",4
"24345","bicycling",4
"24346","biebers",4
"24347","big-box",4
"24348","big-city",4
"24349","big-name",4
"24350","big-ticket",4
"24351","bikram",4
"24352","bilbao",4
"24353","bill’",4
"24354","biologists",4
